id,user_id,mobile
1559742,1559742,15871472068
1559741,1559741,13245391963
1559740,1559740,18003037740
1559737,1559737,13531453342
1559736,1559736,18123077500
1559735,1559735,18064894496
1559734,1559734,18519381591
1559733,1559733,15260825153
1559732,1559732,18774566987
1559730,1559730,15249849809
1559729,1559729,13942032375
1559728,1559728,18595402682
1559727,1559727,17320181689
1559726,1559726,17382612260
1559724,1559724,18298794503
1559723,1559723,13459363020
1559722,1559722,13337555947
1559721,1559721,13363915618
1559720,1559720,18235514379
1559718,1559718,17872777523
1559717,1559717,13766446748
1559716,1559716,15264038028
1559715,1559715,17825181732
1559714,1559714,15173286369
1559713,1559713,13552909913
1559712,1559712,13018053021
1559711,1559711,13591576168
1559710,1559710,15550063568
1559709,1559709,17331380743
1559707,1559707,15283685259
1559706,1559706,18131775007
1559704,1559704,13314706519
1559702,1559702,18939107590
1559701,1559701,18976828770
1559699,1559699,15140625078
1559696,1559696,18028811326
1559695,1559695,17303314047
1559694,1559694,18203600412
1559692,1559692,13713975050
1559690,1559690,17645623432
1559689,1559689,13552445495
1559687,1559687,13894280710
1559686,1559686,19524739074
1559685,1559685,13614479670
1559684,1559684,19170079484
1559682,1559682,18627639906
1559681,1559681,13699087072
1559680,1559680,18016149930
1559679,1559679,13435581229
1559676,1559676,13797140246
1559675,1559675,15998156766
1559671,1559671,13050937666
1559670,1559670,13937302818
1559666,1559666,15139925500
1559664,1559664,13144280805
1559662,1559662,13420978786
1559661,1559661,15216557886
1559659,1559659,15961332892
1559658,1559658,17105706777
1559657,1559657,15060364599
1559652,1559652,17675614120
1559651,1559651,15588309568
1559649,1559649,15756239842
1559648,1559648,13169482960
1559647,1559647,18876500369
1559646,1559646,13915095984
1559645,1559645,13303621379
1559644,1559644,15980708278
1559643,1559643,19354897951
1559642,1559642,19162335352
1559641,1559641,18724219996
1559640,1559640,17807620288
1559639,1559639,18723868611
1559637,1559637,13976792841
1559636,1559636,15225217298
1559635,1559635,13367947726
1559633,1559633,19374190147
1559632,1559632,15142533911
1559631,1559631,15994536312
1559630,1559630,13932962863
1559629,1559629,13687420651
1559627,1559627,18973823050
1559624,1559624,13770293721
1559623,1559623,15896678025
1559619,1559619,15221511124
1559617,1559617,18577051243
1559613,1559613,18823990158
1559612,1559612,19506810673
1559611,1559611,15008052086
1559610,1559610,19103409296
1559609,1559609,19927273293
1559608,1559608,18627556120
1559607,1559607,13472280324
1559606,1559606,15620783809
1559605,1559605,13968885585
1559603,1559603,13316778789
1559602,1559602,18678863375
1559601,1559601,19398180893
1559600,1559600,13605483075
1559599,1559599,18300685527
1559598,1559598,18813012676
1559597,1559597,18547768205
1559595,1559595,15763607719
1559594,1559594,15816399325
1559593,1559593,15312009828
1559591,1559591,15077288864
1559590,1559590,19204413954
1559587,1559587,18389899798
1559585,1559585,13354907142
1559584,1559584,15148660930
1559583,1559583,15308164093
1559582,1559582,17336982074
1559580,1559580,17732897603
1559579,1559579,18371019841
1559578,1559578,17849498860
1559577,1559577,16678157161
1559572,1559572,13528903050
1559571,1559571,18802985826
1559570,1559570,15715631936
1559567,1559567,17781371879
1559566,1559566,13462788609
1559562,1559562,15154764766
1559560,1559560,13580472249
1559558,1559558,19711508909
1559557,1559557,15262001079
1559556,1559556,17830160565
1559555,1559555,13610055228
1559554,1559554,18177898609
1559553,1559553,13632334009
1559552,1559552,19074978640
1559551,1559551,18059953401
1559550,1559550,15399967370
1559549,1559549,13750866416
1559545,1559545,15223827783
1559544,1559544,13693049817
1559542,1559542,15570302926
1559541,1559541,19167711896
1559539,1559539,15003312630
1559537,1559537,15945453653
1559535,1559535,17667368980
1559531,1559531,13927530520
1559530,1559530,15817145625
1559529,1559529,17373404958
1559527,1559527,18047927543
1559526,1559526,13218539100
1559525,1559525,15571782906
1559524,1559524,18604330303
1559523,1559523,17265206217
1559520,1559520,13824752509
1559519,1559519,13896185584
1559518,1559518,19164984870
1559516,1559516,13286002652
1559515,1559515,15592109758
1559513,1559513,18760341070
1559512,1559512,18877100335
1559511,1559511,15180579362
1559510,1559510,18927042708
1559509,1559509,13025939685
1559508,1559508,15666130489
1559507,1559507,15536648162
1559506,1559506,17660253951
1559505,1559505,19972829885
1559504,1559504,15707218390
1559503,1559503,13750498096
1559502,1559502,15084619912
1559501,1559501,18148789213
1559499,1559499,13005837681
1559498,1559498,15737650550
1559497,1559497,15505880716
1559495,1559495,17841827192
1559491,1559491,15514386875
1559490,1559490,19821571762
1559489,1559489,15841699006
1559487,1559487,19816922124
1559486,1559486,15833321510
1559485,1559485,16725417444
1559484,1559484,17812785107
1559482,1559482,18008385266
1559481,1559481,15764312786
1559480,1559480,15921858816
1559478,1559478,19826085815
1559477,1559477,13458624234
1559476,1559476,13905195911
1559473,1559473,13108734073
1559469,1559469,15636047827
1559467,1559467,15729745666
1559461,1559461,13142358987
1559460,1559460,18477108256
1559457,1559457,13677963568
1559455,1559455,15848374490
1559454,1559454,13388840809
